iter	Passed	Remaining
685	21609	9891
686	21638	9858
687	21665	9825
688	21691	9790
689	21716	9756
690	21743	9722
691	21773	9691
692	21802	9658
693	21830	9625
694	21855	9591
695	21879	9556
696	21910	9524
697	21938	9492
698	21965	9458
699	21993	9425
700	22021	9392
701	22052	9361
702	22081	9328
703	22111	9297
704	22137	9263
705	22163	9229
706	22192	9197
707	22218	9163
708	22246	9130
709	22273	9097
710	22300	9064
711	22331	9033
712	22358	9000
713	22385	8966
714	22410	8933
715	22439	8900
716	22469	8868
717	22496	8835
718	22527	8804
719	22553	8770
720	22580	8737
721	22607	8704
722	22634	8671
723	22660	8638
724	22686	8605
725	22719	8574
726	22754	8544
727	22784	8512
728	22814	8481
729	22842	8448
730	22872	8416
731	22903	8385
732	22932	8353
733	22961	8321
734	22990	8288
735	23030	8260
736	23059	8228
737	23086	8195
738	23112	8162
739	23137	8129
740	23162	8095
741	23190	8063
742	23217	8030
743	23243	7997
744	23269	7964
745	23297	7932
746	23327	7900
747	23354	7868
748	23381	7835
749	23408	7802
750	23435	7770
751	23467	7739
752	23494	7706
753	23521	7674
754	23551	7642
755	23585	7612
756	23616	7581
757	23646	7549
758	23683	7520
759	23714	7488
760	23742	7456
761	23773	7425
762	23811	7396
763	23842	7365
764	23879	7335
765	23914	7305
766	23948	7275
767	23977	7243
768	24011	7212
769	24041	7181
770	24074	7150
771	24107	7119
772	24138	7088
773	24169	7057
774	24199	7025
775	24225	6992
776	24256	6961
777	24290	6931
778	24323	6900
779	24356	6869
780	24390	6839
781	24425	6809
782	24460	6779
783	24489	6747
784	24526	6717
785	24555	6685
786	24589	6655
787	24616	6622
788	24649	6591
789	24681	6560
790	24717	6530
791	24753	6500
792	24789	6470
793	24824	6440
794	24855	6409
795	24885	6377
796	24912	6345
797	24940	6313
798	24977	6283
799	25020	6255
800	25050	6223
801	25078	6191
802	25109	6160
803	25138	6128
804	25174	6098
805	25222	6070
806	25248	6038
807	25276	6006
808	25309	5975
809	25335	5942
810	25362	5910
811	25392	5879
812	25429	5849
813	25458	5817
814	25485	5785
815	25517	5754
816	25549	5722
817	25578	5691
818	25611	5660
819	25646	5629
820	25674	5597
821	25703	5565
822	25731	5534
823	25758	5501
824	25782	5469
825	25809	5436
826	25839	5405
827	25868	5373
828	25896	5341
829	25933	5311
830	25962	5279
831	25994	5248
832	26023	5217
833	26053	5185
834	26083	5154
835	26116	5123
836	26155	5093
837	26190	5063
838	26224	5032
839	26255	5001
840	26288	4970
841	26324	4939
842	26355	4908
843	26381	4876
844	26407	4844
845	26436	4812
846	26465	4780
847	26491	4748
848	26520	4716
849	26549	4685
850	26578	4653
851	26608	4622
852	26636	4590
853	26666	4558
854	26695	4527
855	26723	4495
856	26756	4464
857	26786	4433
858	26817	4401
859	26844	4370
860	26870	4338
861	26896	4305
862	26923	4274
863	26950	4242
864	26984	4211
865	27014	4180
866	27041	4148
867	27066	4116
868	27096	4084
869	27130	4054
870	27169	4023
871	27208	3993
872	27238	3962
873	27266	3930
874	27294	3899
875	27322	3867
876	27348	3835
877	27374	3803
878	27407	3772
879	27445	3742
880	27481	3711
881	27508	3680
882	27540	3649
883	27569	3617
884	27596	3586
885	27622	3554
886	27649	3522
887	27678	3491
888	27706	3459
889	27732	3427
890	27758	3395
891	27785	3364
892	27814	3332
893	27844	3301
894	27871	3269
895	27898	3238
896	27927	3206
897	27957	3175
898	27983	3143
899	28011	3112
900	28038	3080
901	28070	3049
902	28098	3018
903	28125	2986
904	28153	2955
905	28182	2923
906	28216	2893
907	28250	2862
908	28282	2831
909	28311	2800
910	28339	2768
911	28363	2736
912	28388	2705
913	28414	2673
914	28442	2642
915	28478	2611
916	28522	2581
917	28559	2551
918	28594	2520
919	28631	2489
920	28668	2459
921	28699	2427
922	28735	2397
923	28775	2366
924	28811	2336
925	28839	2304
926	28865	2273
927	28893	2241
928	28925	2210
929	28966	2180
930	29000	2149
931	29031	2118
932	29067	2087
933	29097	2056
934	29129	2025
935	29161	1993
936	29194	1962
937	29239	1932
938	29281	1902
939	29324	1871
940	29358	1840
941	29388	1809
942	29417	1778
943	29451	1747
944	29482	1715
945	29512	1684
946	29543	1653
947	29572	1622
948	29615	1591
949	29652	1560
950	29684	1529
951	29710	1497
952	29738	1466
953	29768	1435
954	29799	1404
955	29834	1373
956	29863	1341
957	29891	1310
958	29919	1279
959	29958	1248
960	29994	1217
961	30035	1186
962	30065	1155
963	30092	1123
964	30120	1092
965	30159	1061
966	30187	1030
967	30214	998
968	30248	967
969	30275	936
970	30302	905
971	30328	873
972	30354	842
973	30385	811
974	30414	779
975	30440	748
976	30465	717
977	30493	685
978	30520	654
979	30548	623
980	30575	592
981	30601	560
982	30628	529
983	30658	498
984	30684	467
985	30711	436
986	30738	404
987	30764	373
988	30796	342
989	30822	311
990	30860	280
991	30894	249
992	30925	218
993	30953	186
994	30980	155
995	31006	124
996	31032	93
997	31060	62
998	31089	31
999	31117	0
