iter	Passed	Remaining
658	787	407
659	788	406
660	789	404
661	790	403
662	790	401
663	791	400
664	792	399
665	793	397
666	793	396
667	794	394
668	795	393
669	796	392
670	797	391
671	798	389
672	799	388
673	800	387
674	801	385
675	802	384
676	802	383
677	803	381
678	804	380
679	805	378
680	806	377
681	806	376
682	807	374
683	808	373
684	809	372
685	810	370
686	811	369
687	812	368
688	813	367
689	814	365
690	815	364
691	816	363
692	817	362
693	818	360
694	819	359
695	820	358
696	821	356
697	821	355
698	822	354
699	823	352
700	824	351
701	824	350
702	825	348
703	826	347
704	827	346
705	828	345
706	829	343
707	830	342
708	831	341
709	832	339
710	833	338
711	834	337
712	835	336
713	836	334
714	836	333
715	837	332
716	838	330
717	839	329
718	839	328
719	840	326
720	841	325
721	842	324
722	843	323
723	844	321
724	845	320
725	846	319
726	847	318
727	848	316
728	849	315
729	850	314
730	851	313
731	852	311
732	853	310
733	854	309
734	854	308
735	855	306
736	856	305
737	857	304
738	858	303
739	859	301
740	860	300
741	861	299
742	862	298
743	863	297
744	864	295
745	865	294
746	866	293
747	866	292
748	867	290
749	868	289
750	869	288
751	870	286
752	870	285
753	871	284
754	873	283
755	874	282
756	874	280
757	875	279
758	876	278
759	877	277
760	878	275
761	879	274
762	879	273
763	880	272
764	881	270
765	882	269
766	882	268
767	883	266
768	884	265
769	885	264
770	886	263
771	887	262
772	888	260
773	889	259
774	890	258
775	891	257
776	892	256
777	893	255
778	894	253
779	895	252
780	896	251
781	897	250
782	898	248
783	898	247
784	899	246
785	900	245
786	901	244
787	902	242
788	903	241
789	904	240
790	905	239
791	906	238
792	907	236
793	908	235
794	909	234
795	910	233
796	910	232
797	911	230
798	912	229
799	913	228
800	914	227
801	914	225
802	915	224
803	916	223
804	917	222
805	918	221
806	919	219
807	920	218
808	921	217
809	921	216
810	922	215
811	923	213
812	924	212
813	925	211
814	926	210
815	927	209
816	928	207
817	929	206
818	930	205
819	931	204
820	931	203
821	932	202
822	933	200
823	934	199
824	935	198
825	936	197
826	937	196
827	937	194
828	938	193
829	939	192
830	940	191
831	941	190
832	942	188
833	943	187
834	943	186
835	945	185
836	946	184
837	947	183
838	948	181
839	948	180
840	949	179
841	950	178
842	951	177
843	952	176
844	953	174
845	953	173
846	954	172
847	955	171
848	956	170
849	957	168
850	958	167
851	959	166
852	960	165
853	961	164
854	963	163
855	964	162
856	965	161
857	966	159
858	967	158
859	968	157
860	969	156
861	970	155
862	971	154
863	972	153
864	973	151
865	974	150
866	975	149
867	976	148
868	977	147
869	978	146
870	979	145
871	980	143
872	981	142
873	982	141
874	983	140
875	984	139
876	985	138
877	986	137
878	987	135
879	988	134
880	989	133
881	990	132
882	991	131
883	992	130
884	993	129
885	994	127
886	995	126
887	996	125
888	996	124
889	997	123
890	998	122
891	999	121
892	1001	119
893	1001	118
894	1002	117
895	1003	116
896	1004	115
897	1006	114
898	1007	113
899	1008	112
900	1009	110
901	1010	109
902	1011	108
903	1012	107
904	1013	106
905	1014	105
906	1015	104
907	1016	102
908	1017	101
909	1018	100
910	1019	99
911	1020	98
912	1021	97
913	1022	96
914	1023	95
915	1024	93
916	1025	92
917	1026	91
918	1027	90
919	1028	89
920	1029	88
921	1030	87
922	1031	86
923	1032	84
924	1033	83
925	1035	82
926	1036	81
927	1038	80
928	1039	79
929	1039	78
930	1040	77
931	1041	76
932	1042	74
933	1043	73
934	1044	72
935	1045	71
936	1046	70
937	1047	69
938	1047	68
939	1048	66
940	1049	65
941	1050	64
942	1051	63
943	1052	62
944	1053	61
945	1054	60
946	1055	59
947	1056	57
948	1057	56
949	1058	55
950	1059	54
951	1059	53
952	1060	52
953	1061	51
954	1062	50
955	1063	48
956	1064	47
957	1065	46
958	1066	45
959	1067	44
960	1068	43
961	1069	42
962	1070	41
963	1071	40
964	1072	38
965	1073	37
966	1074	36
967	1075	35
968	1076	34
969	1077	33
970	1078	32
971	1079	31
972	1079	29
973	1081	28
974	1082	27
975	1083	26
976	1084	25
977	1085	24
978	1086	23
979	1087	22
980	1088	21
981	1089	19
982	1089	18
983	1090	17
984	1091	16
985	1092	15
986	1092	14
987	1093	13
988	1094	12
989	1095	11
990	1096	9
991	1097	8
992	1098	7
993	1099	6
994	1100	5
995	1101	4
996	1102	3
997	1103	2
998	1104	1
999	1104	0
